file_name,date,match_type,teams,venue,city,winner,gender,overs
1072312.json,2018-01-21,ODI,"England, Australia",Sydney Cricket Ground,Unknown,England,male,50
1131278.json,2018-01-21,ODI,"Scotland, United Arab Emirates",ICC Academy,Dubai,Scotland,male,50
1130741.json,2018-01-23,ODI,"Bangladesh, Zimbabwe","Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,male,50
1131279.json,2018-01-23,ODI,"Scotland, United Arab Emirates",ICC Academy,Dubai,United Arab Emirates,male,50
1130742.json,2018-01-25,ODI,"Bangladesh, Sri Lanka","Shere Bangla National Stadium, Mirpur",Dhaka,Sri Lanka,male,50
1072313.json,2018-01-26,ODI,"England, Australia",Adelaide Oval,Unknown,Australia,male,50
1130743.json,2018-01-27,ODI,"Sri Lanka, Bangladesh","Shere Bangla National Stadium, Mirpur",Dhaka,Sri Lanka,male,50
1072314.json,2018-01-28,ODI,"England, Australia",Perth Stadium,Unknown,England,male,50
1122279.json,2018-02-01,ODI,"South Africa, India",Kingsmead,Durban,India,male,50
1122280.json,2018-02-04,ODI,"South Africa, India",SuperSport Park,Centurion,India,male,50
1122281.json,2018-02-07,ODI,"India, South Africa",Newlands,Cape Town,India,male,50
1122282.json,2018-02-10,ODI,"India, South Africa",The Wanderers Stadium,Johannesburg,South Africa,male,50
1122283.json,2018-02-13,ODI,"India, South Africa",St George's Park,Port Elizabeth,India,male,50
1122284.json,2018-02-16,ODI,"South Africa, India",SuperSport Park,Centurion,India,male,50
1115775.json,2018-02-25,ODI,"England, New Zealand",Seddon Park,Hamilton,New Zealand,male,50
1115776.json,2018-02-28,ODI,"New Zealand, England",Bay Oval,Mount Maunganui,England,male,50
1115777.json,2018-03-03,ODI,"England, New Zealand",Westpac Stadium,Wellington,England,male,50
1134540.json,2018-03-04,ODI,"United Arab Emirates, Papua New Guinea",Harare Sports Club,Unknown,United Arab Emirates,male,50
1133003.json,2018-03-06,ODI,"West Indies, United Arab Emirates",Old Hararians,Harare,West Indies,male,50
1133002.json,2018-03-06,ODI,"Papua New Guinea, Ireland",Harare Sports Club,Unknown,Ireland,male,50
1133005.json,2018-03-06,ODI,"Hong Kong, Scotland",Bulawayo Athletic Club,Unknown,Scotland,male,50
1115778.json,2018-03-07,ODI,"England, New Zealand",University Oval,Dunedin,New Zealand,male,50
1133007.json,2018-03-08,ODI,"Papua New Guinea, West Indies",Old Hararians,Harare,West Indies,male,50
1115779.json,2018-03-10,ODI,"New Zealand, England",Hagley Oval,Christchurch,England,male,50
1133010.json,2018-03-10,ODI,"West Indies, Ireland",Harare Sports Club,Unknown,West Indies,male,50
1133012.json,2018-03-10,ODI,"Zimbabwe, Hong Kong",Queens Sports Club,Bulawayo,Zimbabwe,male,50
1133017.json,2018-03-12,ODI,"Zimbabwe, Scotland",Queens Sports Club,Bulawayo,No Result,male,50
1133015.json,2018-03-12,ODI,"Ireland, United Arab Emirates",Old Hararians,Harare,Ireland,male,50
1133019.json,2018-03-15,ODI,"Scotland, United Arab Emirates",Queens Sports Club,Bulawayo,Scotland,male,50
1133022.json,2018-03-16,ODI,"Zimbabwe, Ireland",Harare Sports Club,Unknown,Zimbabwe,male,50
1133023.json,2018-03-17,ODI,"Papua New Guinea, Hong Kong",Old Hararians,Harare,Papua New Guinea,male,50
1133025.json,2018-03-18,ODI,"Ireland, Scotland",Harare Sports Club,Unknown,Ireland,male,50
1133026.json,2018-03-19,ODI,"Zimbabwe, West Indies",Harare Sports Club,Unknown,West Indies,male,50
1133028.json,2018-03-21,ODI,"West Indies, Scotland",Harare Sports Club,Unknown,West Indies,male,50
1133029.json,2018-03-22,ODI,"United Arab Emirates, Zimbabwe",Harare Sports Club,Unknown,United Arab Emirates,male,50
1119537.json,2018-06-13,ODI,"Australia, England",Kennington Oval,London,England,male,50
1119538.json,2018-06-16,ODI,"England, Australia",Sophia Gardens,Cardiff,England,male,50
1119539.json,2018-06-19,ODI,"England, Australia",Trent Bridge,Nottingham,England,male,50
1119540.json,2018-06-21,ODI,"Australia, England",Riverside Ground,Chester-le-Street,England,male,50
1119541.json,2018-06-24,ODI,"Australia, England",Old Trafford,Manchester,England,male,50
1119546.json,2018-07-12,ODI,"England, India",Trent Bridge,Nottingham,India,male,50
1142920.json,2018-07-13,ODI,"Pakistan, Zimbabwe",Queens Sports Club,Bulawayo,Pakistan,male,50
1119547.json,2018-07-14,ODI,"England, India",Lord's,London,England,male,50
